Name of the School,Candidates Registerd,Candidates Appeared,Distin-ction,Grade I,Grade II,Pass Grade,Total Pass,Pass Percent,Year
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",191,191,87,77,25,1,190,99.47,2024
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",33,33,11,13,9,0,33,100.0,2024
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",37,37,7,16,12,0,35,94.59,2024
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",18,18,11,5,2,0,18,100.0,2024
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",50,50,35,14,1,0,50,100.0,2024
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",18,18,6,10,2,0,18,100.0,2024
"HON.DADA JADHAVRAO VIDYA, OLD JEJURI, TQ.PURANDAR",22,22,5,9,5,3,22,100.0,2024
"HUTATMA UMAJI NAIK H.SCH, A/P BHIWADI, TQ.PURANDAR",25,25,6,15,4,0,25,100.0,2024
"RISE PISE MADHYAMIK VIDYALAYA, RISE, TQ.PURANDAR",23,23,12,7,4,0,23,100.0,2024
"SADGURU SHREE NARAYAN MAHARAJ MADHY.VID,NARAYANPUR",28,28,8,10,6,3,27,96.42,2024
"RAJE SHIVRAYA VIDAYALAYA, PANAWADI, TQ.PURANDAR",10,10,1,4,2,3,10,100.0,2024
"SHRI.B.S.KAKADE (DESHMUKH) VIDYALAYA, PIMPRE(KD)",46,46,11,20,12,3,46,100.0,2024
"GURUWARYA NARAYAN MAHARAJ MADHYA.VIDYALAYA, HIVRE",32,32,11,14,6,1,32,100.0,2024
"WAGHESHWARI MADHYA.VIDYALAYA, PINGORI, TQ.PURANDAR",12,12,4,7,1,0,12,100.0,2024
"RAJURI MADHYAMIK VIDYALAYA, RAJURI, TQ.PURANDAR",25,25,5,9,11,0,25,100.0,2024
"SHRI.SADGURU KANIFNATH MADHYAMIK VIDYALAYA,BOPGAON",25,25,7,15,2,0,24,96.0,2024
"SHIVAJI ENGLISH MEDIUM SCHOOL, SASWAD, TQ.PURANDAR",85,85,59,23,3,0,85,100.0,2024
"SHREE SANT SOPANKAKA HSCHL,SASWAD,TA PURANDAR,PUNE",116,116,40,42,24,9,115,99.13,2024
"PURANDAR PUBLIC SCHOOL,JEJURI,PUNE",44,44,24,16,4,0,44,100.0,2024
"MAHATMA JYOTIBHA PHULE VIDYALAY,PURANDHAR,PUNE,",17,17,6,3,5,0,14,82.35,2024
"GURUKUL ENGLISH MEDIUM SCHOOL, PURANDHAR, PUNE",12,12,2,8,2,0,12,100.0,2024
ANU.JATI VA NAVBHUDHA MULANCHI SHASAKIYA NIWASI SC,17,17,0,3,7,4,14,82.35,2024
"JIJAMATA ENGLISH MEDIUM HIGH SCHOOL,PURANDHAR,PUNE",35,35,25,9,1,0,35,100.0,2024
"SHARADA ENGLISH MEDIUM SCHOOL, WAGHAPUR",17,17,14,3,0,0,17,100.0,2024
"INDU ENGLISH SCHOOL, JEJURI-MORGAON ROAD,KOLVIHIRE",19,19,13,6,0,0,19,100.0,2024
SHREENATH EDU SOC ENG MED SCHOOL VEER,26,26,18,7,1,0,26,100.0,2024
"M.E.S.WAGHIRE HIGH SCHOOL & JR.COLL, SASWAD, PUNE",249,249,120,86,37,4,247,99.19,2025
"MAHATMA GANDHI VIDYALAYA, NIRA, TQ.PURANDHAR, PUNE",87,87,14,24,28,13,79,90.8,2025
"PUNYASHLOK AHILYADEVI VIDYA MANDIR, JEJURI, PUNE",65,65,21,27,13,1,62,95.38,2025
"MAHARASHI WALMIKI VIDYALAYA,WALHE,T.PURANDHAR,PUNE",106,106,46,39,18,1,104,98.11,2025
"KARMAVEER VIDYALAYA, PARINCHE, TQ.PURANDHAR, PUNE",73,72,26,33,8,5,72,100.0,2025
"PANCHAKROSHI SHETKARI TECH.H.SCHOOL, WAGHAPUR,PUNE",66,66,36,27,3,0,66,100.0,2025
"PURANDHAR HIGH SCHOOL, SASWAD, TQ.PURANDAR, PUNE",147,146,15,40,52,15,122,83.56,2025
"SHANKARRAO DONE VIDYALAYA GARADE, TQ.PURANDAR,PUNE",72,72,20,30,22,0,72,100.0,2025
"SHRI.SHIVAJI VIDYA MANDIR, AMBALE, RAJEWADI, PUNE",18,18,2,5,10,1,18,100.0,2025
"RAVINDRANATH TAGORE VIDYALAYA, VEER,PURANDHAR,PUNE",37,37,6,14,10,6,36,97.29,2025
"MAHATMA JYOTIRAO PHULE VIDY,YAMAISTAND,SHIVRI PUNE",65,65,18,28,13,5,64,98.46,2025
"AGRO-INDUSTRIAL H.SCHOOL, CHAMBALI,PURANDHAR,PUNE",62,62,20,27,14,1,62,100.0,2025
"BALSIDHANATH VIDYALAYA, BELSAR, PURANDAR, PUNE",24,24,4,10,7,3,24,100.0,2025
"SHRI.KATOBA HIGH SCHOOL, DIV E, PURANDAR, PUNE",72,72,1,21,33,13,68,94.44,2025
"DR.S.KOLATE VIDYALAYA, PISARVE, PURANDAR, PUNE",38,38,21,13,3,0,37,97.36,2025
"PARESHWAR VIDYALAYA, PARGAON-MEMANE, PURANDAR PUNE",47,47,30,15,2,0,47,100.0,2025
"LILAVATI R.S.GIRL'S SCHOOL, NEERA, PURANDAR, PUNE",97,97,39,29,18,7,93,95.87,2025
"JOTIRLING HIGH SCHOOL, GULUNCHE, TQ.PURANDHAR PUNE",69,69,19,24,15,8,66,95.65,2025
"NEW ENGLISH SCHOOL, PANGARE, TQ.PURANDHAR, PUNE",19,19,5,12,2,0,19,100.0,2025
"YASHWANT VIDYALAYA, MAWADI-KADEPATHAR, PURANDHAR",45,45,12,24,8,1,45,100.0,2025
"NEW ENGLISH SCHOOL, MANDKI, TQ.PURANDAR, DIST.PUNE",54,54,19,26,9,0,54,100.0,2025
"SHRI.BHULESHWAR VIDYALAYA,MALSHIRAS,PURANDHAR,PUNE",48,48,14,20,14,0,48,100.0,2025
"SHRI.SIDHESHWAR VIDYALAYA, NAIGAON, TQ.PURANDAR",26,26,10,15,1,0,26,100.0,2025
"MAHARSHI VALMIK VIDYALAYA, KOLVIHIRE, TQ.PURANDAR",23,23,3,10,8,2,23,100.0,2025
"SWA SMT KAMLABAI M MUTHA KANYA PRASHALA, SASWAD,",66,65,6,23,18,12,59,90.76,2025
"VIDYA MAHAMANDAL PRASHALA, KOTHALE, TQ.PURANDHAR",66,66,20,28,14,1,63,95.45,2025
"SHIVSHAMBHO VIDYALAYA, EAKHATPUR-MUNJWADI,PURANDAR",33,33,1,14,14,4,33,100.0,2025
"MADHYAMIK VIDYALAYA, MANDHAR, TQ.PURANDAR",18,18,7,7,2,1,17,94.44,2025
"SHRI.KEDARESHWAR VIDYALAYA, KALDARI, TQ.PURANDAR",30,30,4,14,9,3,30,100.0,2025
"SHRI.NAGESHWAR VIDYALAYA, NAZARE(K P), TQ.PURANDAR",22,22,7,10,4,0,21,95.45,2025
"S.M.DR.PATANGRAO KADAM VIDYALAYA,DOUNDDAJ,PURANDAR",32,32,12,16,4,0,32,100.0,2025
"MADHYAMIK VIDYALAYA, YADAVWADI, P.HARGUDE,PURANDAR",33,33,13,14,6,0,33,100.0,2025
"SHRI.KANIFNATH VIDYALAYA, BHIVARI, TQ.PURANDAR",78,78,21,35,20,1,77,98.71,2025
"NEW ENGLISH SCHOOL, JEUR, TQ.PURANDAR",27,27,11,14,2,0,27,100.0,2025
"SHRI.BHAIRAVNATH VIDYALAYA, VANPURI, TQ.PURANDAR",34,34,10,17,6,1,34,100.0,2025
"MATOSHREE JIJAI SOPANRAO JADHAV SEC.HI.SCH,SAKURDE",34,34,12,11,9,1,33,97.05,2025
"MAVADI PIMPRI HIGH SCHOOL, PIMPRI, TQ.PURANDAR",25,25,13,6,6,0,25,100.0,2025
"MAHUR MADYAMIK VIDYALAYA, MAHUR, TQ.PURANDAR",26,26,8,13,5,0,26,100.0,2025
"HARANI MADHYAMIK VIDYALAYA, HARANI, TQ.PURANDAR",15,15,4,9,1,0,14,93.33,2025
"JIJAMATA HIGH SCHOOL, JEJURI, TQ.PURANDAR",182,182,53,88,33,8,182,100.0,2025
"ADRSHA MADHYAMIK VIDYALAYA, KETKAVALE, TQ.PURANDAR",51,51,6,14,22,5,47,92.15,2025
"ACHARYA P K ATRE VIDYLAYA , PIMPALE, TQ.PURANDAR",34,34,16,11,5,2,34,100.0,2025
"NEW ENGLISH SCHOOL, JAWALARJUN, TQ.PURANDAR",16,16,6,8,1,1,16,100.0,2025
"NEW ENGLISH SCHOOL, GURHOLI, TQ.PURANDAR",48,48,23,22,3,0,48,100.0,2025
"SHRI,SHIVSHAMBHU MADHYAMIK VIDYALAYA, KHALAD, PUNE",22,22,7,10,4,1,22,100.0,2025
